,City,Lat,Lng,Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Country
0,Bluff,-46.6,168.3333,54.0,54.0,90,72,3.0,NZ
1,Lagan,45.3929,47.3707,55.47,55.47,69,59,0.98,RU
2,Esperance,-33.8667,121.9,50.0,50.0,87,0,6.91,AU
3,Hasaki,35.7333,140.8333,49.14,51.8,43,20,6.91,JP
4,Port Alfred,-33.5906,26.891,75.2,75.2,37,0,6.98,ZA
5,Mariehamn,60.0973,19.9348,35.6,35.6,75,0,2.3,AX
6,San Miguel,13.4833,-88.1833,90.73,91.4,62,75,3.44,SV
7,Rikitea,-23.1203,-134.9692,77.68,77.68,75,5,9.6,PF
8,Kloulklubed,7.0419,134.2556,77.0,77.0,88,90,16.11,PW
9,Alofi,-19.0595,-169.9187,78.8,78.8,83,40,5.75,NU
10,Butaritari,3.0707,172.7902,83.12,83.12,75,68,13.44,KI
11,Norman Wells,65.282,-126.8329,46.4,46.4,46,1,2.3,CA
12,New Norfolk,-42.7826,147.0587,52.38,55.0,77,100,1.99,AU
13,Kapaa,22.0752,-159.319,75.97,78.8,61,75,12.66,US
14,Sambava,-14.2667,50.1667,75.69,75.69,90,100,14.16,MG
15,Wamba,8.9333,8.6,83.53,83.53,52,95,2.24,NG
16,Hithadhoo,-0.6,73.0833,82.2,82.2,64,33,6.08,MV
17,Turochak,52.2576,87.1224,39.67,39.67,75,30,7.63,RU
18,Busselton,-33.65,115.3333,60.69,60.69,81,79,7.05,AU
19,Highland,34.1283,-117.2086,74.71,82.99,8,1,24.16,US
20,Vaini,-21.2,-175.2,77.0,77.0,78,40,5.75,TO
21,Kumul,42.8,93.45,58.87,58.87,28,34,15.1,CN
22,Mataura,-46.1927,168.8643,54.0,54.0,90,92,3.0,NZ
23,Dosso,13.049,3.1937,94.19,94.19,25,94,3.96,NE
24,Sigiriya,7.9518,80.7426,73.15,73.15,93,39,5.46,LK
25,Hobart,-42.8794,147.3294,53.15,55.4,62,75,6.91,AU
26,Tasiilaq,65.6145,-37.6368,24.8,24.8,63,0,5.75,GL
27,Atuona,-9.8,-139.0333,80.55,80.55,76,9,17.69,PF
28,Dingle,10.9995,122.6711,76.42,76.42,77,100,4.99,PH
29,Vieques,18.425,-65.8329,86.41,91.4,43,20,11.5,PR
30,Carutapera,-1.195,-46.02,76.05,76.05,93,100,4.97,BR
31,Mount Gambier,-37.8333,140.7667,53.6,53.6,100,90,10.36,AU
32,Torbay,47.6666,-52.7314,36.59,37.4,100,90,18.41,CA
33,Mahébourg,-20.4081,57.7,77.0,77.0,94,75,13.8,MU
34,Avarua,-21.2078,-159.775,82.4,82.4,78,20,12.66,CK
35,Punta Arenas,-53.15,-70.9167,48.09,48.2,81,0,8.05,CL
36,Ostrovnoy,68.0531,39.5131,29.61,29.61,79,98,19.37,RU
37,Kieta,-6.2167,155.6333,80.58,80.58,75,61,3.6,PG
38,Airai,-8.9266,125.4092,56.19,56.19,67,99,2.35,TL
39,Cayenne,4.9333,-52.3333,80.83,81.0,83,75,6.91,GF
40,Sapulpa,35.9987,-96.1142,64.0,64.99,31,20,4.61,US
41,Jamestown,42.097,-79.2353,53.15,55.0,54,90,12.66,US
42,Inongo,-1.95,18.2667,74.95,74.95,84,81,3.71,CD
43,Marrakesh,31.6315,-8.0083,71.6,71.6,53,0,10.36,MA
44,Gambēla,8.25,34.5833,82.33,82.33,41,73,2.89,ET
45,Arraial do Cabo,-22.9661,-42.0278,77.0,77.0,83,75,8.05,BR
46,Khatanga,71.9667,102.5,-1.93,-1.93,96,98,7.76,RU
47,Yulara,-25.2406,130.9889,50.0,50.0,62,0,5.75,AU
48,Potchefstroom,-26.7167,27.1,56.46,56.46,52,0,1.48,ZA
49,Cherskiy,68.75,161.3,22.77,22.77,87,74,13.49,RU
50,Hamilton,39.1834,-84.5333,63.21,64.4,25,1,8.05,US
51,Talnakh,69.4865,88.3972,-17.59,-17.59,88,74,2.15,RU
52,Camacha,33.0833,-16.3333,62.6,62.6,72,20,10.36,PT
53,Ushuaia,-54.8,-68.3,57.2,57.2,51,20,8.05,AR
54,Qaanaaq,77.484,-69.3632,5.81,5.81,76,99,5.03,GL
55,Pangnirtung,66.1451,-65.7125,17.6,17.6,67,20,3.44,CA
56,Kidal,18.4411,1.4078,91.2,91.2,11,30,11.45,ML
57,Bambous Virieux,-20.3428,57.7575,76.05,77.0,94,75,13.8,MU
58,Albany,42.6001,-73.9662,56.43,60.01,40,92,4.0,US
59,Agüimes,27.9054,-15.4461,66.36,66.99,63,40,23.02,ES
60,Deputatsky,69.3,139.9,-0.49,-0.49,95,94,5.06,RU
61,Port Hardy,50.6996,-127.4199,55.11,57.2,62,1,4.61,CA
62,Batemans Bay,-35.7167,150.1833,48.42,51.01,91,16,3.0,AU
63,Yellowknife,62.456,-114.3525,37.2,37.4,60,20,6.91,CA
64,Iqaluit,63.7506,-68.5145,21.09,21.2,68,75,3.44,CA
65,Kavieng,-2.5744,150.7967,82.29,82.29,74,94,4.27,PG
66,Puerto Ayora,-0.7393,-90.3518,81.52,82.4,74,40,9.22,EC
67,Souillac,-20.5167,57.5167,77.0,77.0,94,75,13.8,MU
68,São Sebastião do Caí,-29.5867,-51.3756,71.01,71.01,87,52,3.0,BR
69,Castro,-24.7911,-50.0119,61.74,61.74,88,68,5.41,BR
70,Dārāb,28.7519,54.5444,66.99,66.99,42,64,5.48,IR
71,Cape Town,-33.9258,18.4232,66.25,69.01,88,0,11.5,ZA
72,Arteaga,18.4667,-102.4167,86.72,86.72,15,0,8.46,MX
73,Saint Anthony,45.0205,-93.218,62.83,64.99,27,75,11.5,US
74,Atar,20.5169,-13.0499,84.15,84.15,12,68,7.87,MR
75,Necochea,-38.5473,-58.7368,70.0,70.0,81,99,8.01,AR
76,Thinadhoo,0.5333,72.9333,82.31,82.31,64,99,6.96,MV
77,Kruisfontein,-34.0033,24.7314,71.69,71.69,22,2,6.69,ZA
78,George Town,5.4112,100.3354,79.43,80.6,89,20,2.3,MY
79,Hong Kong,22.2855,114.1577,67.84,71.01,76,100,1.99,HK
80,Mildura,-34.2,142.15,51.42,51.8,66,90,1.16,AU
81,Hermanus,-34.4187,19.2345,63.0,63.0,87,71,6.24,ZA
82,Ust-Nera,64.5667,143.2,8.51,8.51,89,82,5.75,RU
83,Cidreira,-30.1811,-50.2056,70.79,70.79,75,45,13.87,BR
84,Honiara,-9.4333,159.95,80.83,80.83,82,91,3.29,SB
85,East London,-33.0153,27.9116,74.64,74.64,34,0,5.93,ZA
86,Pentecoste,-3.7928,-39.2703,81.0,81.0,78,89,21.0,BR
87,Rome,43.2128,-75.4557,58.41,62.6,36,20,14.97,US
88,North Bend,43.4065,-124.2243,56.79,68.0,87,75,11.5,US
89,Coolum Beach,-26.5333,153.1,58.24,62.01,82,10,7.0,AU
90,Laas,46.6166,10.7002,44.73,53.6,60,20,4.61,IT
91,Sikonge,-5.6333,32.7667,62.65,62.65,95,8,5.12,TZ
92,Shingū,33.7333,135.9833,44.02,44.02,80,0,6.33,JP
93,Barrow,71.2906,-156.7887,21.2,21.2,86,1,8.05,US
94,Ahipara,-35.1667,173.1667,60.08,60.08,68,95,3.6,NZ
95,Baykit,61.67,96.37,19.47,19.47,97,100,3.65,RU
96,Hilo,19.7297,-155.09,75.2,78.8,61,90,6.91,US
97,Catazaja,17.725,-92.0167,91.4,91.4,55,40,6.91,MX
98,Butembo,0.15,29.2833,60.66,60.66,85,42,4.41,CD
99,Riberalta,-10.9833,-66.1,81.19,81.19,87,81,1.79,BO
100,Jieshi,22.8134,115.8257,67.15,67.15,65,94,20.49,CN
101,Dikson,73.5069,80.5464,-11.49,-11.49,100,100,2.26,RU
102,Bonavista,48.6499,-53.1147,36.79,37.4,100,100,5.75,CA
103,Genhe,50.7833,121.5167,24.76,24.76,71,9,8.21,CN
104,Mossamedes,-15.1961,12.1522,80.78,80.78,71,7,5.55,AO
105,Joensuu,62.6012,29.7632,39.96,41.0,56,0,5.75,FI
106,Safut,32.0336,35.8332,76.15,77.0,33,0,6.98,JO
107,Innisfail,-17.5333,146.0333,73.87,73.87,94,99,7.72,AU
108,Megion,61.0296,76.1136,8.6,8.6,72,0,8.95,RU
109,Erdenet,49.0333,104.0833,30.52,30.52,56,21,3.6,MN
110,Okhotsk,59.3833,143.3,29.1,29.1,97,100,7.38,RU
111,Vaitape,-16.5167,-151.75,82.56,82.56,69,9,12.46,PF
112,Biak,-0.9131,122.8766,74.57,74.57,83,100,5.17,ID
113,Teacapan,22.55,-105.75,81.88,81.88,49,2,10.65,MX
114,Mercedes,-34.6515,-59.4307,72.54,75.99,79,88,1.99,AR
115,Fort-Shevchenko,44.5086,50.263,54.27,54.27,81,70,10.2,KZ
116,Yamada,39.4667,141.95,48.83,48.83,74,96,8.39,JP
117,Nikolskoye,59.7035,30.7861,45.7,48.2,49,0,13.42,RU
118,Mpika,-11.8343,31.4529,57.2,57.2,95,77,7.72,ZM
119,Saint-Philippe,-21.3585,55.7679,71.33,75.2,78,90,11.5,RE
120,Zhigansk,66.7697,123.3711,4.05,4.05,96,99,3.6,RU
121,Slyudyanka,51.6594,103.7061,27.19,27.19,89,38,2.98,RU
122,Yate,51.5407,-2.4184,46.92,50.0,63,93,1.83,GB
123,Sangar,63.9242,127.4739,0.12,0.12,98,100,1.7,RU
124,Sterling,39.0062,-77.4286,61.92,64.0,39,75,5.75,US
125,Chokurdakh,70.6333,147.9167,8.06,8.06,90,97,16.31,RU
126,Port Hedland,-20.3167,118.5667,69.8,69.8,78,1,3.44,AU
127,Thompson,55.7435,-97.8558,28.4,28.4,43,1,9.22,CA
128,Taoudenni,22.6783,-3.9836,84.87,84.87,14,0,11.65,ML
129,Boyuibe,-20.4167,-63.2833,73.56,73.56,83,30,3.02,BO
130,Weymouth,42.2209,-70.9398,58.91,60.8,47,98,12.66,US
131,Vila Franca do Campo,37.7167,-25.4333,60.8,60.8,88,20,11.5,PT
132,Damietta,31.4165,31.8133,69.8,69.8,64,0,13.8,EG
133,Srednekolymsk,67.45,153.6833,14.47,14.47,83,11,9.84,RU
134,Kaitangata,-46.2817,169.8464,57.0,57.0,63,83,1.99,NZ
135,Krasnyy Yar,46.5331,48.3456,60.4,60.8,44,0,2.24,RU
